id,Date,vdc,scantime,starttime
9326805,"2022-05-18 00:00:05",408.181,2991397.157,"2022-04-13 08:56:11"
9326806,"2022-05-18 00:00:15",408.098,2991407.157,"2022-04-13 08:56:11"
9326807,"2022-05-18 00:00:25",408.16,2991415.157,"2022-04-13 08:56:11"
9326808,"2022-05-18 00:00:35",408.095,2991427.156,"2022-04-13 08:56:11"
9326809,"2022-05-18 00:00:45",408.124,2991437.156,"2022-04-13 08:56:11"
9326810,"2022-05-18 00:00:55",408.026,2991445.157,"2022-04-13 08:56:11"
9326811,"2022-05-18 00:01:05",408.074,2991457.157,"2022-04-13 08:56:11"
9326812,"2022-05-18 00:01:16",408.011,2991467.157,"2022-04-13 08:56:11"
9326813,"2022-05-18 00:01:26",408.087,2991477.157,"2022-04-13 08:56:11"
9326814,"2022-05-18 00:01:36",408.082,2991487.157,"2022-04-13 08:56:11"
9326815,"2022-05-18 00:01:45",408.035,2991497.157,"2022-04-13 08:56:11"
9326816,"2022-05-18 00:01:56",408.09,2991507.157,"2022-04-13 08:56:11"
9326817,"2022-05-18 00:02:05",408.083,2991517.157,"2022-04-13 08:56:11"
9326818,"2022-05-18 00:02:16",408.077,2991527.157,"2022-04-13 08:56:11"
9326819,"2022-05-18 00:02:26",408.121,2991537.157,"2022-04-13 08:56:11"
9326820,"2022-05-18 00:02:36",408.173,2991547.157,"2022-04-13 08:56:11"
9326821,"2022-05-18 00:02:45",408.064,2991557.157,"2022-04-13 08:56:11"
9326822,"2022-05-18 00:02:56",408.094,2991569.158,"2022-04-13 08:56:11"
9326823,"2022-05-18 00:03:06",408.162,2991577.156,"2022-04-13 08:56:11"
9326824,"2022-05-18 00:03:16",408.001,2991589.157,"2022-04-13 08:56:11"
9326825,"2022-05-18 00:03:27",408.099,2991599.157,"2022-04-13 08:56:11"
9326826,"2022-05-18 00:03:36",408.08,2991607.157,"2022-04-13 08:56:11"
9326827,"2022-05-18 00:03:46",408.062,2991619.158,"2022-04-13 08:56:11"
9326828,"2022-05-18 00:03:56",408.116,2991629.157,"2022-04-13 08:56:11"
9326829,"2022-05-18 00:04:06",408.205,2991637.157,"2022-04-13 08:56:11"
9326830,"2022-05-18 00:04:16",408.211,2991649.157,"2022-04-13 08:56:11"
9326831,"2022-05-18 00:04:26",408.111,2991659.158,"2022-04-13 08:56:11"
9326832,"2022-05-18 00:04:36",408.006,2991667.157,"2022-04-13 08:56:11"
9326833,"2022-05-18 00:04:46",408.04,2991679.157,"2022-04-13 08:56:11"
9326834,"2022-05-18 00:04:57",408.187,2991689.16,"2022-04-13 08:56:11"
9326835,"2022-05-18 00:05:07",408.079,2991697.156,"2022-04-13 08:56:11"
9326836,"2022-05-18 00:05:17",408.05,2991709.158,"2022-04-13 08:56:11"
9326837,"2022-05-18 00:05:27",408.088,2991719.157,"2022-04-13 08:56:11"
9326838,"2022-05-18 00:05:37",408.142,2991727.157,"2022-04-13 08:56:11"
9326839,"2022-05-18 00:05:47",408.078,2991739.157,"2022-04-13 08:56:11"
9326840,"2022-05-18 00:05:57",408.128,2991749.157,"2022-04-13 08:56:11"
9326841,"2022-05-18 00:06:07",408.089,2991757.157,"2022-04-13 08:56:11"
9326842,"2022-05-18 00:06:17",408.188,2991769.157,"2022-04-13 08:56:11"
9326843,"2022-05-18 00:06:27",408.067,2991779.157,"2022-04-13 08:56:11"
9326844,"2022-05-18 00:06:37",408.171,2991787.157,"2022-04-13 08:56:11"
9326845,"2022-05-18 00:06:47",407.993,2991799.157,"2022-04-13 08:56:11"
9326846,"2022-05-18 00:06:57",408.083,2991809.157,"2022-04-13 08:56:11"
9326847,"2022-05-18 00:07:07",408.045,2991817.157,"2022-04-13 08:56:11"
9326848,"2022-05-18 00:07:18",408.118,2991829.157,"2022-04-13 08:56:11"
9326849,"2022-05-18 00:07:28",408.162,2991839.157,"2022-04-13 08:56:11"
9326850,"2022-05-18 00:07:38",408.139,2991851.159,"2022-04-13 08:56:11"
9326851,"2022-05-18 00:07:47",408.073,2991859.157,"2022-04-13 08:56:11"
9326852,"2022-05-18 00:07:57",408.161,2991869.157,"2022-04-13 08:56:11"
9326853,"2022-05-18 00:08:07",408.053,2991877.157,"2022-04-13 08:56:11"
9326854,"2022-05-18 00:08:18",408.064,2991889.157,"2022-04-13 08:56:11"
9326855,"2022-05-18 00:08:28",408.164,2991899.157,"2022-04-13 08:56:11"
9326856,"2022-05-18 00:08:38",408.063,2991911.157,"2022-04-13 08:56:11"
9326857,"2022-05-18 00:08:48",408.183,2991919.157,"2022-04-13 08:56:11"
9326858,"2022-05-18 00:08:58",408.11,2991931.157,"2022-04-13 08:56:11"
9326859,"2022-05-18 00:09:08",408.099,2991941.158,"2022-04-13 08:56:11"
9326860,"2022-05-18 00:09:18",408.09,2991949.157,"2022-04-13 08:56:11"
9326861,"2022-05-18 00:09:28",408.291,2991959.157,"2022-04-13 08:56:11"
9326862,"2022-05-18 00:09:38",408.116,2991971.157,"2022-04-13 08:56:11"
9326863,"2022-05-18 00:09:49",408.023,2991979.157,"2022-04-13 08:56:11"
9326864,"2022-05-18 00:09:58",408.232,2991991.159,"2022-04-13 08:56:11"
9326865,"2022-05-18 00:10:09",408.082,2992001.157,"2022-04-13 08:56:11"
9326866,"2022-05-18 00:10:18",408.008,2992009.157,"2022-04-13 08:56:11"
9326867,"2022-05-18 00:10:28",408.16,2992021.157,"2022-04-13 08:56:11"
9326868,"2022-05-18 00:10:38",408.087,2992031.157,"2022-04-13 08:56:11"
9326869,"2022-05-18 00:10:48",408.188,2992039.157,"2022-04-13 08:56:11"
9326870,"2022-05-18 00:10:58",408.179,2992051.157,"2022-04-13 08:56:11"
9326871,"2022-05-18 00:11:08",408.066,2992061.157,"2022-04-13 08:56:11"
9326872,"2022-05-18 00:11:18",408.088,2992069.157,"2022-04-13 08:56:11"
9326873,"2022-05-18 00:11:28",408.08,2992081.159,"2022-04-13 08:56:11"
9326874,"2022-05-18 00:11:39",408.032,2992091.16,"2022-04-13 08:56:11"
9326875,"2022-05-18 00:11:49",408.138,2992099.156,"2022-04-13 08:56:11"
9326876,"2022-05-18 00:11:59",408.151,2992111.158,"2022-04-13 08:56:11"
9326877,"2022-05-18 00:12:09",408.192,2992121.158,"2022-04-13 08:56:11"
9326878,"2022-05-18 00:12:19",408.128,2992129.157,"2022-04-13 08:56:11"
9326879,"2022-05-18 00:12:29",408.005,2992141.158,"2022-04-13 08:56:11"
9326880,"2022-05-18 00:12:39",408.078,2992151.157,"2022-04-13 08:56:11"
9326881,"2022-05-18 00:12:49",408.065,2992159.157,"2022-04-13 08:56:11"
9326882,"2022-05-18 00:12:59",408.073,2992171.157,"2022-04-13 08:56:11"
9326883,"2022-05-18 00:13:09",407.937,2992181.157,"2022-04-13 08:56:11"
9326884,"2022-05-18 00:13:19",408.127,2992189.157,"2022-04-13 08:56:11"
9326885,"2022-05-18 00:13:29",408.1,2992201.156,"2022-04-13 08:56:11"
9326886,"2022-05-18 00:13:39",407.995,2992211.157,"2022-04-13 08:56:11"
9326887,"2022-05-18 00:13:50",408.121,2992221.157,"2022-04-13 08:56:11"
9326888,"2022-05-18 00:14:00",408.061,2992231.157,"2022-04-13 08:56:11"
9326889,"2022-05-18 00:14:10",408.136,2992241.157,"2022-04-13 08:56:11"
9326890,"2022-05-18 00:14:19",408.108,2992249.157,"2022-04-13 08:56:11"
9326891,"2022-05-18 00:14:29",408.142,2992261.157,"2022-04-13 08:56:11"
9326892,"2022-05-18 00:14:39",408.127,2992271.157,"2022-04-13 08:56:11"
9326893,"2022-05-18 00:14:50",408.135,2992281.157,"2022-04-13 08:56:11"
9326894,"2022-05-18 00:15:00",408.05,2992291.157,"2022-04-13 08:56:11"
9326895,"2022-05-18 00:15:10",408.092,2992303.157,"2022-04-13 08:56:11"
9326896,"2022-05-18 00:15:19",408.126,2992309.157,"2022-04-13 08:56:11"
9326897,"2022-05-18 00:15:30",408.078,2992321.157,"2022-04-13 08:56:11"
9326898,"2022-05-18 00:15:40",408.065,2992331.157,"2022-04-13 08:56:11"
9326899,"2022-05-18 00:15:50",408.034,2992343.158,"2022-04-13 08:56:11"
9326900,"2022-05-18 00:16:00",408.001,2992351.156,"2022-04-13 08:56:11"
9326901,"2022-05-18 00:16:10",408.046,2992363.158,"2022-04-13 08:56:11"
9326902,"2022-05-18 00:16:20",408.099,2992373.158,"2022-04-13 08:56:11"
9326903,"2022-05-18 00:16:30",408.108,2992381.157,"2022-04-13 08:56:11"
9326904,"2022-05-18 00:16:40",408.004,2992391.157,"2022-04-13 08:56:11"
9326905,"2022-05-18 00:16:50",408.132,2992403.157,"2022-04-13 08:56:11"
9326906,"2022-05-18 00:17:00",408.112,2992411.157,"2022-04-13 08:56:11"
9326907,"2022-05-18 00:17:10",408.024,2992421.157,"2022-04-13 08:56:11"
9326908,"2022-05-18 00:17:20",408.051,2992433.161,"2022-04-13 08:56:11"
9326909,"2022-05-18 00:17:30",408.114,2992441.157,"2022-04-13 08:56:11"
9326910,"2022-05-18 00:17:41",408.121,2992453.157,"2022-04-13 08:56:11"
9326911,"2022-05-18 00:17:50",407.994,2992461.156,"2022-04-13 08:56:11"
9326912,"2022-05-18 00:18:00",408.053,2992471.156,"2022-04-13 08:56:11"
