hour (h);irradiance (W/m^2)
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;11.11111111
10;11.11111111
11;47.22222222
12;72.22222222
13;130.5555556
14;80.55555556
15;52.77777778
16;5.555555556
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;36.11111111
10;91.66666667
11;172.2222222
12;158.3333333
13;163.8888889
14;102.7777778
15;80.55555556
16;5.555555556
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;5.555555556
10;25
11;75
12;66.66666667
13;33.33333333
14;41.66666667
15;33.33333333
16;2.777777778
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;5.555555556
10;19.44444444
11;36.11111111
12;41.66666667
13;22.22222222
14;22.22222222
15;19.44444444
16;2.777777778
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;5.555555556
10;16.66666667
11;25
12;22.22222222
13;16.66666667
14;11.11111111
15;5.555555556
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;8.333333333
10;44.44444444
11;52.77777778
12;80.55555556
13;125
14;80.55555556
15;58.33333333
16;11.11111111
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;5.555555556
10;16.66666667
11;30.55555556
12;27.77777778
13;19.44444444
14;13.88888889
15;8.333333333
16;2.777777778
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;22.22222222
10;52.77777778
11;75
12;75
13;50
14;30.55555556
15;13.88888889
16;2.777777778
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;5.555555556
10;11.11111111
11;25
12;22.22222222
13;22.22222222
14;41.66666667
15;16.66666667
16;5.555555556
17;0
18;0
19;0
20;0
21;0
22;0
